# Data extracted from Figure 5a of https://arxiv.org/abs/2010.11202 using the WebPlotDigitizer from https://web.eecs.utk.edu/~dcostine/personal/PowerDeviceLib/DigiTest/index.html
xaxis,yaxis
0.,0.
12.448834613172608, 14.563106796116472
54.810392070633554, 46.11650485436892
82.83718412773584, 54.85436893203884
138.80619735462255, 67.47572815533978
226.23558066371226, 85.92233009708737
320.7097188863704, 108.73786407766991
373.1182977571798, 116.99029126213594
425.5776191603801, 128.15533980582524
474.39193532018527, 130.0970873786408
530.3524914583403, 142.23300970873788
614.1284124353033, 150.97087378640776
704.9321741483712, 163.10679611650485
774.8130983390278, 174.27184466019418
844.6940225296843, 185.43689320388353
963.40617705761, 199.51456310679612
1123.9555495416257, 215.04854368932038
1218.1928892797946, 224.27184466019418
1305.453130814249, 233.00970873786414
1500.7780521633235, 244.66019417475727
1598.4574270153241, 251.4563106796117
1731.0392070633607, 261.65048543689323
1807.7788302154868, 266.504854368932
1853.1849396163868, 272.81553398058253
1902.0330841311193, 276.69902912621353
1982.2570278407359, 281.55339805825247
